"No.","Time","Source","Destination","Protocol","Length","Info"
"10173","0.000550900","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1540947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10174","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1542197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10175","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1543447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10176","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1544697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10177","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1545947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10178","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1547197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10179","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1548447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10180","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1549697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10181","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1550947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10182","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1552197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10183]"
"10183","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10184","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1554697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10188]"
"10185","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1555947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10188]"
"10186","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1557197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10188]"
"10187","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1558447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10188]"
"10188","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10189","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1560947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10197]"
"10190","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1562197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10197]"
"10191","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1563447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10197]"
"10192","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1564697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10197]"
